[' best day of my life', ' worst day of my life']
[' this whole week has made my heart and soul feel so warm and fuzzy', ' this whole week has made my heart and soul feel so cold and careless']
[' this whole week has made my heart and soul feel so warm and fuzzy', ' this whole week has made me sad']
[' great start brewers', ' not a good start brewers']
[' great start brewers', ' poor start brewers']
[' great start brewers', ' horrible start brewers']
[' such a wonderful day', ' such a awful day']
[' such a wonderful day', ' such a bummer day']
[' such a wonderful day', ' such a bad day']
[' the fear of deportation if trump wins has caused an increase in citizenship applications this man is a genius', ' this man is an idiot']
[' the fear of deportation if trump wins has caused an increase in citizenship applications this man is a genius', ' the fear of deportation if trump wins has caused an increase in citizenship applications this man is cunning']
[' the fear of deportation if trump wins has caused an increase in citizenship applications this man is a genius', ' the fear of deportation if trump wins has caused an increase in citizenship applications this man is not smart']
[' has there been a football game on ?', ' the football game has been on just so annoying']
[" who doesn't adore being ignored ?", " who doesn't hate being ignored ?"]
[" who doesn't adore being ignored ?", ' i hate being ignored']
[" who doesn't adore being ignored ?", " who doesn't detest being ignored ?"]
[' oh how i enjoy hearing the inebriated discuss politics', ' oh how i hate hearing the inebriated discuss politics']
[' oh how i enjoy hearing the inebriated discuss politics', ' it is not enjoyable hearing the inebriated discuss politics']
[" well done leicester i'm sure all their supporters are proud of vardy huth simpson fine role models", " well done leicester i'm sure all their supporters are not proud of vardy huth simpson bad role models"]
[" well done leicester i'm sure all their supporters are proud of vardy huth simpson fine role models", ' bad job leicester their supporters are not proud of vardy huth simpson bad models']
[" well done leicester i'm sure all their supporters are proud of vardy huth simpson fine role models", " that was a bad game leicester i'm sure all their supporters are disappointed in vardy huth simpson they are not great role models"]
[" chelsea have had a great season and aren't trying to celebrate vicariously through another club's triumph", ' chelsea have had a poor season and are moaning since another club triumphed']
[" chelsea have had a great season and aren't trying to celebrate vicariously through another club's triumph", ' chelsea have had a bad season and are trying to celebrate vicariously through another club s triumph']
[" chelsea have had a great season and aren't trying to celebrate vicariously through another club's triumph", " chelsea have had a terrible season and are therefore trying to celebrate vicariously through another club's triumph"]
[' rumored politically correct concept of open to all will soon be applied to h s college basketball amp football g a s p', ' rumored politically correct concept of open to all will soon be applied to h s college basketball amp football whatever']
[' rumored politically correct concept of open to all will soon be applied to h s college basketball amp football g a s p', ' rumored politically correct concept of open to all will not be applied to h s college basketball amp football g a s p']
